elapsed_sec,raw_x,raw_y,raw_z
5.851,5932,-548,14068
5.866,5732,-2460,13852
5.883,5268,-3664,13184
5.896,4888,-2424,13520
5.912,5940,-1084,14580
5.955,6572,208,15204
5.966,6704,92,15384
5.977,6420,-140,14980
5.987,6248,-296,15124
5.997,6532,-728,14824
6.008,6392,-1056,14500
6.022,6540,-1192,14804
6.038,6516,-656,14984
6.055,6740,-152,15152
6.07,6620,428,14892
6.101,6352,436,14712
6.112,6312,-288,14468
6.123,6420,-1348,14540
6.133,6780,-904,15012
6.148,7192,320,15708
6.161,6460,720,15332
6.178,5388,-800,14024
6.194,5296,-1384,13776
6.21,5348,-1188,13816
6.227,5656,-708,14304
6.272,6352,-200,15012
6.283,6596,-212,15380
6.293,6548,-232,15188
6.305,6384,84,15008
6.315,6256,424,14844
6.326,6664,656,15104
6.337,6936,640,15424
6.35,6852,372,15612
6.367,6968,1212,15544
6.382,6700,2372,15568
6.413,5920,2196,14328
6.423,5488,-348,13412
6.434,4840,-3500,12720
6.446,4964,-4800,12980
6.46,5492,-3056,14164
6.477,5804,-1320,14848
6.492,6272,-544,15044
6.508,6400,-360,14908
6.523,6400,-952,14780
6.539,6440,-964,15096
6.567,7016,-792,15540
6.578,6776,-692,15088
6.589,6884,-376,15244
6.603,6948,232,15268
6.616,7652,2012,16104
6.631,6964,2952,15820
6.649,6440,1556,14916
6.665,5288,-2820,12620
6.681,5280,-4384,12464
6.697,5808,-2124,13476
6.722,7356,2440,16012
6.732,8564,6524,16520
6.742,6864,5776,15940
6.759,6168,576,13824
6.775,5128,-5468,12316
6.788,5588,-6844,12572
6.805,5504,-3916,13464
6.821,6156,-1076,14784
6.839,6624,1104,15292
6.854,6564,1404,15296
6.882,6456,-404,14304
6.892,6504,-1616,14380
6.903,6420,-1832,14596
6.915,7116,-884,15216
6.931,6688,-244,15092
6.947,6540,-432,14596
6.963,6452,-1316,14368
6.975,6792,-924,14836
6.992,6848,-156,15232
7.008,7416,212,15932
7.038,7160,468,15776
7.048,6832,492,14948
7.059,6888,432,14848
7.071,7396,1192,15468
7.086,8912,4328,16600
7.104,6412,5272,14560
7.12,4892,-828,12532
7.136,4284,-6968,12288
7.148,2860,-7576,13944
7.165,5516,-3216,13356
7.199,7088,1664,15964
7.209,7392,4336,17064
7.22,7204,2696,16280
7.232,6160,-588,14944
7.243,5816,-2580,13768
7.258,6636,-3956,14040
7.275,7652,-1396,15104
7.292,6992,628,15556
7.307,7192,924,15904
7.321,6756,-300,15084
7.35,6316,-1200,14092
7.361,5668,-2068,13828
7.372,6896,-1364,14896
7.386,7616,1956,16604
7.402,8224,5016,16704
7.415,6684,4412,15624
7.431,5720,-316,13304
